id,fund_name,Performance fee?,Investment Strategy,Derivatives_label,Portfolio composition, Concentration,Predicted Strategy,Strategy evidence,Prediction
0000051931-18-000151,American Funds College 2018 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2018 Fund <head_breaker>

American Funds College 2018 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2021 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2021 Fund <head_breaker>

American Funds College 2021 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2024 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2024 Fund <head_breaker>

American Funds College 2024 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2027 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2027 Fund <head_breaker>

American Funds College 2027 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2030 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2030 Fund <head_breaker>

American Funds College 2030 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2033 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2033 Fund <head_breaker>

American Funds College 2033 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College 2036 Fund,,Balanced Fund (Low Risk),Yes,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","American Funds College 2036 Fund <head_breaker>

American Funds College 2036 Fund

Investment objectives The fund will seek to achieve the following objectives to varying degrees: growth, income and preservation of capital, depending on the proximity to its target date. The target date is meant to roughly correspond to the year in which the fund beneficiary will start to withdraw funds to meet higher education expenses. The fund will increasingly emphasize income and preservation of capital by investing a greater portion of its assets in bond, equity-income and balanced funds as it approaches and passes its target date. In this way, the fund seeks to achieve an appropriate balance of total return and stability during different time periods.",Balanced Fund (Low Risk)
0000051931-18-000151,American Funds College Enrollment Fund,,Fixed Income Long Only (Low Risk),Yes,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 8","American Funds College Enrollment Fund <head_breaker>

American Funds College Enrollment Fund

Investment objective The fund’s investment objective is to provide current income, consistent with preservation of capital.

Fees and expenses of the fund This table describes the fees and expenses that you may pay if you buy and hold shares of the fund. You may qualify for a Class 529-A sales charge discount if you and your family invest, or agree to invest in the future, at least $500,000 in American Funds. More information about these and other discounts is available from your financial professional, in the “Sales charge reductions and waivers” sections on page 67 of the prospectus and on page 80 of the fund’s statement of additional information, and in the sales charge waiver appendix to this prospectus.",Fixed Income Long Only (Low Risk)
0000051931-18-000426,American Funds U.S. Government Money Market Fund,,Fixed Income Long Only (Low Risk),No,Investment grade securities,Diversified,"Category: Fixed Income Long Only  
Confidence: 8","Principal investment strategies The fund will attempt to achieve its investment objectives by investing in a mix of American Funds in different combinations and weightings. The underlying American Funds represent a variety of fund categories such as growth-and-income funds, equity-income funds, balanced funds and bond funds. The fund categories represent differing investment objectives. For example, growth-and-income funds seek long-term growth-and-income primarily through investments in stocks. Equity-income and balanced funds generally strive for income and growth through stocks and/or bond investments, while bond funds seek current income through bond investments. The fund is designed for investors who plan to attend college in, or close to, the year designated in the fund’s name.",Fixed Income Long Only (Low Risk)
0000051931-18-000465,Asset Allocation Fund,,Balanced Fund (Low Risk),No,Investment grade securities,Diversified,"Category: Balanced Fund  
Confidence: 9","2

Principal Investment Strategies

The fund’s asset allocation strategy seeks to diversify its investments among equity securities, debt securities, U.S. Treasury inflation-indexed securities, commodity-related investments and real estate-related investments, all in an effort to provide investors total real return. Total real return is total return reduced by the expected impact of inflation. The fund’s investment strategy has been designed in an effort to protect the fund’s investors from the effects of rising U.S. inflation. The portfolio managers will regularly review the fund’s asset mix and adjust the allocation among asset classes as necessary to provide the fund what they believe is the most favorable outlook for achieving the fund’s objective. By adjusting the allocation among asset classes the portfolio managers can moderate risks associated with each asset category.",Balanced Fund (Low Risk)
